Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/1,Datasets/BTC-2021-minute.csv,False,33,80,1,LSTM,Close-,5000,105.82,0.18,0.999,0.0004331690724939108,3.2230716897174716e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,34,80,1,LSTM,Close-,5000,142.57,0.26,0.999,0.00041367803351022303,8.060312393354252e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,35,80,1,LSTM,Close-,5000,95.01,0.16,1.0,0.00040160436765290797,2.0500503524090163e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,36,80,1,LSTM,Close-,5000,92.41,0.15,1.0,0.00038455435424111784,1.5063249520608224e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,37,80,1,LSTM,Close-,5000,90.04,0.15,1.0,0.0003710506425704807,1.4660158740298357e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,38,80,1,LSTM,Close-,5000,87.48,0.14,1.0,0.00036150397500023246,1.2231897926540114e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,39,80,1,LSTM,Close-,5000,87.66,0.14,1.0,0.00034629335277713835,1.2316333595663309e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,40,80,1,LSTM,Close-,5000,83.46,0.13,1.0,0.00033572272513993084,8.179794349416625e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,41,80,1,LSTM,Close-,5000,90.06,0.15,1.0,0.00032495500636287034,1.5015863937151153e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,42,80,1,LSTM,Close-,5000,117.55,0.21,0.999,0.0003180749190505594,4.6817596739856526e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,43,80,1,LSTM,Close-,5000,94.08,0.16,1.0,0.00030771855381317437,1.9779743524850346e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,44,80,1,LSTM,Close-,5000,83.14,0.13,1.0,0.000299957551760599,8.50657670525834e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,45,80,1,LSTM,Close-,5000,91.69,0.15,1.0,0.0002942719729617238,1.7378841221216135e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,46,80,1,LSTM,Close-,5000,87.09,0.14,1.0,0.00028680378454737365,1.2568843885674141e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,47,80,1,LSTM,Close-,5000,82.59,0.13,1.0,0.0002801218070089817,8.30880344437901e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,48,80,1,LSTM,Close-,5000,82.41,0.13,1.0,0.0002787374542094767,8.19536126073217e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,49,80,1,LSTM,Close-,5000,82.42,0.13,1.0,0.00027115773991681635,7.908950465207454e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,50,80,1,LSTM,Close-,5000,95.95,0.16,1.0,0.0002674951101653278,2.277882413181942e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,1,150,30,GRU,Close-,5000,488.45,0.96,0.988,0.04548580199480057,0.0007198009407147765
SavedModels/2,Datasets/BTC-2021-minute.csv,False,2,150,30,GRU,Close-,5000,270.61,0.5,0.996,0.006393822375684977,0.00020961677364539355
SavedModels/2,Datasets/BTC-2021-minute.csv,False,3,150,30,GRU,Close-,5000,227.63,0.41,0.997,0.004367921035736799,0.000135836613480933
SavedModels/2,Datasets/BTC-2021-minute.csv,False,4,150,30,GRU,Close-,5000,223.11,0.4,0.998,0.003373237792402506,0.0001342339819530025
SavedModels/2,Datasets/BTC-2021-minute.csv,False,5,150,30,GRU,Close-,5000,204.81,0.35,0.998,0.0027896184474229813,0.00010491879947949201
SavedModels/2,Datasets/BTC-2021-minute.csv,False,6,150,30,GRU,Close-,5000,180.69,0.29,0.998,0.0024236864410340786,6.22198567725718e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,7,150,30,GRU,Close-,5000,192.75,0.32,0.998,0.0021490862127393484,8.72787059051916e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,8,150,30,GRU,Close-,5000,181.81,0.3,0.998,0.0019282855791971087,6.700762605760247e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,9,150,30,GRU,Close-,5000,178.99,0.29,0.998,0.0017588469199836254,6.246617704164237e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,10,150,30,GRU,Close-,5000,176.17,0.28,0.998,0.0016185258282348514,5.69253861613106e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,11,150,30,GRU,Close-,5000,178.27,0.29,0.998,0.0014978696126490831,6.042790846549906e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,12,150,30,GRU,Close-,5000,175.33,0.28,0.998,0.0014002694515511394,5.584506652667187e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,13,150,30,GRU,Close-,5000,170.05,0.27,0.999,0.0013142417883500457,4.55262343166396e-05
